model_label,disease,simple_explanation,common_signs,safe_actions,avoid,when_to_seek_help,source_url
Moles,Moles / Nevi,Topic: Moles. Moles are growths on the skin.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Psoriasis,Psoriasis,"Topic: Psoriasis. Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales.","Red or darker raised plaques, silvery scale, itching, burning, cracked skin, or nail changes.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Moisturizers, trigger control, topical therapy, light therapy, or systemic treatment for severe disease.; Lakukan pencegahan sesuai informasi knowledge base: Avoid triggers, manage stress, avoid skin injury, moisturize, and follow treatment consistently.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if plaques are widespread, painful, infected, or joint pain occurs.",
Rosacea,Rosacea,Topic: Rosacea. Rosacea is a long-term disease that affects your skin and sometimes your eyes.,"Facial redness, flushing, visible blood vessels, acne-like bumps, burning, stinging, or eye irritation.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Avoid triggers, use gentle skin care, sun protection, and prescription treatment if needed.; Lakukan pencegahan sesuai informasi knowledge base: Use sunscreen, avoid personal triggers, and avoid harsh skin products.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if symptoms worsen, eyes are irritated, or redness becomes persistent.",
Seborrh_Keratoses,Seborrheic keratosis,Topic: Skin Conditions. What does your skin do?Your skin is your body's largest organ.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
SkinCancer,Skin cancer,Topic: Skin Cancer. Skin cancer is the most common form of cancer in the United States.,"New or changing mole, non-healing sore, bleeding lesion, irregular border, color change, or growing bump.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Needs medical diagnosis. Treatment may include excision, topical therapy, cryotherapy, radiation, or oncology care depending on type.; Lakukan pencegahan sesuai informasi knowledge base: Use sunscreen, protective clothing, avoid tanning beds, and perform skin self-checks.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor urgently for ABCDE mole changes, bleeding, rapid growth, or non-healing sores.",
Sun_Sunlight_Damage,Sun damage,Topic: Sun Exposure. Ultraviolet (UV) rays are an invisible form of radiation.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Tinea,Tinea / Ringworm,Topic: Tinea Infections. Tinea is the name of a group of diseases caused by a fungus.,"Itchy, red, scaly, ring-shaped rash or peeling skin, depending on body location.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Keep area dry and use antifungal medicine.; Lakukan pencegahan sesuai informasi knowledge base: Avoid sharing towels/clothes, keep skin dry, treat infected pets, and wash hands.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if rash is on scalp, widespread, recurrent, or not improving.",
Unknown_Normal,Normal skin / unknown lesion,Topic: Skin Pigmentation Disorders. Pigmentation means coloring.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Vascular_Tumors,Vascular skin tumors,Topic: Birthmarks. Birthmarks are abnormalities of the skin that are present when a baby is born.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Vasculitis,Cutaneous vasculitis,Topic: Vascular Diseases. What are vascular diseases?Your vascular system is your body's network of blood vessels.,"Information varies by subtype. Common signs may include rash, color change, bumps, scaling, itching, pain, swelling, blisters, crusting, or abnormal skin growth.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Treatment depends on the exact diagnosis. General care includes gentle skin care, avoiding triggers, keeping the area clean, and seeking medical evaluation when symptoms are severe or persistent.; Lakukan pencegahan sesuai informasi knowledge base: Use sun protection, avoid sharing towels or personal items, maintain hygiene, avoid known triggers, protect skin from injury, and seek early care for suspicious or worsening lesions.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if the lesion changes rapidly, bleeds, is painful, spreads, shows infection signs, affects the eye/genitals, or does not improve.",
Vitiligo,Vitiligo,Topic: Vitiligo. Vitiligo causes white patches on your skin.,"White or lighter patches of skin, often on face, hands, arms, feet, or areas around body openings.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Sun protection, camouflage, topical therapy, phototherapy, or specialist treatment.; Lakukan pencegahan sesuai informasi knowledge base: Protect depigmented skin from sunburn and avoid skin trauma when possible.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,See a doctor if new white patches appear or spread.,
Warts,Warts,"Topic: Warts. Warts are growths on your skin caused by an infection with humanpapilloma virus, or HPV.","Rough bumps on skin, sometimes painful, flat, filiform, or clustered depending on type.","Amati perubahan pada kulit; Jaga kebersihan area kulit; Hindari menggaruk atau memencet; Periksa ke puskesmas, pustu, klinik, posyandu, atau tenaga kesehatan jika keluhan memburuk; Ikuti perawatan aman sesuai arahan tenaga kesehatan jika diperlukan: Many warts resolve slowly; treatment may include topical agents, freezing, or removal.; Lakukan pencegahan sesuai informasi knowledge base: Avoid picking, cover warts, wear footwear in public showers, and avoid sharing personal items.",Jangan memakai obat keras tanpa arahan tenaga kesehatan; Jangan menyimpulkan diagnosis hanya dari AI; Jangan menunda pemeriksaan jika keluhan memburuk; Jangan membeli atau menggunakan obat resep tanpa pemeriksaan tenaga kesehatan,"See a doctor if warts are painful, spreading, bleeding, on face/genitals, or if immunity is weak.",
